Time,Exact,Adams_S,Adams_WS,Adams_WSNA,ddends,Err_S,Err_WS,Err_WSNA,Err_ddends
1.55,5.65,5.65,5.65,5.65,5.65,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,1.77635683940025e-15
1.56,5.68,5.68,5.68,5.68,5.68,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,8.88178419700125e-16
1.57,5.71,5.71,5.71,5.71,5.71,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,8.88178419700125e-16
1.58,5.74,5.74,5.74,5.74,5.74,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,8.88178419700125e-16
1.59,5.77,5.77,5.77,5.77,5.77,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,8.88178419700125e-16
1.6,5.8,5.8,5.8,5.8,5.8,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15
1.61,5.83,5.83,5.83,5.83,5.83,2.66453525910038e-15,2.66453525910038e-15,2.66453525910038e-15,8.88178419700125e-16
1.62,5.86,5.86,5.86,5.86,5.86,2.66453525910038e-15,2.66453525910038e-15,2.66453525910038e-15,8.88178419700125e-16
1.63,5.89,5.89,5.89,5.89,5.89,2.66453525910038e-15,2.66453525910038e-15,2.66453525910038e-15,1.77635683940025e-15
1.64,5.92,5.92,5.92,5.92,5.92,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,8.88178419700125e-16
1.65,5.95,5.95,5.95,5.95,5.95,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,8.88178419700125e-16
1.66,5.98,5.98,5.98,5.98,5.98,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,8.88178419700125e-16
1.67,6.01,6.01,6.01,6.01,6.01,4.44089209850063e-15,4.44089209850063e-15,4.44089209850063e-15,8.88178419700125e-16
1.68,6.04,6.04,6.04,6.04,6.04,4.44089209850063e-15,4.44089209850063e-15,4.44089209850063e-15,1.77635683940025e-15
1.69,6.07,6.07,6.07,6.07,6.07,4.44089209850063e-15,4.44089209850063e-15,4.44089209850063e-15,1.77635683940025e-15
1.7,6.1,6.1,6.1,6.1,6.1,5.32907051820075e-15,5.32907051820075e-15,5.32907051820075e-15,8.88178419700125e-16
1.71,6.13,6.13000000000001,6.13000000000001,6.13000000000001,6.13,5.32907051820075e-15,5.32907051820075e-15,5.32907051820075e-15,1.77635683940025e-15
1.72,6.16,6.16000000000001,6.16000000000001,6.16000000000001,6.16,5.32907051820075e-15,5.32907051820075e-15,5.32907051820075e-15,1.77635683940025e-15
1.73,6.19,6.19000000000001,6.19000000000001,6.19000000000001,6.19,6.21724893790088e-15,6.21724893790088e-15,6.21724893790088e-15,8.88178419700125e-16
1.74,6.22,6.22000000000001,6.22000000000001,6.22000000000001,6.22,6.21724893790088e-15,6.21724893790088e-15,6.21724893790088e-15,8.88178419700125e-16
1.75,6.25,6.25000000000001,6.25000000000001,6.25000000000001,6.25,6.21724893790088e-15,6.21724893790088e-15,6.21724893790088e-15,1.77635683940025e-15
1.76,6.28,6.28000000000001,6.28000000000001,6.28000000000001,6.28,6.21724893790088e-15,6.21724893790088e-15,6.21724893790088e-15,1.77635683940025e-15
1.77,6.31,6.31000000000001,6.31000000000001,6.31000000000001,6.31,6.21724893790088e-15,6.21724893790088e-15,6.21724893790088e-15,1.77635683940025e-15
1.78,6.34,6.34000000000001,6.34000000000001,6.34000000000001,6.34,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,8.88178419700125e-16
1.79,6.37,6.37000000000001,6.37000000000001,6.37000000000001,6.37,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,1.77635683940025e-15
1.8,6.4,6.40000000000001,6.40000000000001,6.40000000000001,6.4,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,1.77635683940025e-15
1.81,6.43,6.43000000000001,6.43000000000001,6.43000000000001,6.43,7.99360577730113e-15,7.99360577730113e-15,7.99360577730113e-15,8.88178419700125e-16
1.82,6.46,6.46000000000001,6.46000000000001,6.46000000000001,6.46,7.99360577730113e-15,7.99360577730113e-15,7.99360577730113e-15,8.88178419700125e-16
1.83,6.49,6.49000000000001,6.49000000000001,6.49000000000001,6.49,7.99360577730113e-15,7.99360577730113e-15,7.99360577730113e-15,1.77635683940025e-15
1.84,6.52,6.52000000000001,6.52000000000001,6.52000000000001,6.52,7.99360577730113e-15,7.99360577730113e-15,7.99360577730113e-15,1.77635683940025e-15
1.85,6.55,6.55000000000001,6.55000000000001,6.55000000000001,6.55,7.99360577730113e-15,7.99360577730113e-15,7.99360577730113e-15,1.77635683940025e-15
1.86,6.58,6.58000000000001,6.58000000000001,6.58000000000001,6.58,8.88178419700125e-15,8.88178419700125e-15,8.88178419700125e-15,1.77635683940025e-15
1.87,6.61,6.61000000000001,6.61000000000001,6.61000000000001,6.61,8.88178419700125e-15,8.88178419700125e-15,8.88178419700125e-15,1.77635683940025e-15
1.88,6.64,6.64000000000001,6.64000000000001,6.64000000000001,6.64,8.88178419700125e-15,8.88178419700125e-15,8.88178419700125e-15,1.77635683940025e-15
1.89,6.67,6.67000000000001,6.67000000000001,6.67000000000001,6.67,9.76996261670138e-15,9.76996261670138e-15,9.76996261670138e-15,8.88178419700125e-16
1.9,6.7,6.70000000000001,6.70000000000001,6.70000000000001,6.7,9.76996261670138e-15,9.76996261670138e-15,9.76996261670138e-15,8.88178419700125e-16
1.91,6.73,6.73000000000001,6.73000000000001,6.73000000000001,6.73,9.76996261670138e-15,9.76996261670138e-15,9.76996261670138e-15,1.77635683940025e-15
1.92,6.76,6.76000000000001,6.76000000000001,6.76000000000001,6.76,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,1.77635683940025e-15
1.93,6.79,6.79000000000001,6.79000000000001,6.79000000000001,6.79,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,1.77635683940025e-15
1.94,6.82,6.82000000000001,6.82000000000001,6.82000000000001,6.82,1.06581410364015e-14,1.06581410364015e-14,1.06581410364015e-14,1.77635683940025e-15
1.95,6.85,6.85000000000001,6.85000000000001,6.85000000000001,6.85,1.15463194561016e-14,1.15463194561016e-14,1.15463194561016e-14,1.77635683940025e-15
1.96,6.88,6.88000000000001,6.88000000000001,6.88000000000001,6.88,1.15463194561016e-14,1.15463194561016e-14,1.15463194561016e-14,1.77635683940025e-15
1.97,6.91,6.91000000000001,6.91000000000001,6.91000000000001,6.91,1.15463194561016e-14,1.15463194561016e-14,1.15463194561016e-14,1.77635683940025e-15
1.98,6.94,6.94000000000001,6.94000000000001,6.94000000000001,6.94,1.24344978758018e-14,1.24344978758018e-14,1.24344978758018e-14,8.88178419700125e-16
